rank,mlb_player_id,name,fv,fg_year,fg_score,v4_score,v5_score,v7_score
1,815908,Jesús Made,65.0,2025.0,100.0,100.0,71.59527828411557,97.15952782841156
2,804606,Konnor Griffin,65.0,2025.0,99.46802910024967,74.93303265194862,47.65780627058975,86.92650788279336
3,806964,Sebastian Walcott,60.0,2025.0,89.09196254848096,50.77836172176502,45.299397906679864,73.21862583628607
4,805808,Kevin McGonigle,60.0,2025.0,90.09006646742075,43.59099372476012,24.50942256954706,69.58228025483518
5,815888,Leo De Vries,55.0,2025.0,68.35431369650118,67.8064391956459,57.465690568593196,67.10108903345379
6,829035,Andrew Salas,45.0,2025.0,47.41651723570433,93.36345023267249,100.0,66.45894541122435
7,694212,Samuel Basallo,60.0,2025.0,83.41277791093773,46.211307586305466,24.08203750656781,66.31926277311106
8,806068,Colt Emerson,55.0,2025.0,70.90487732300244,56.545927502941076,34.974282071932734,63.00413285187705
9,703601,Max Clark,60.0,2025.0,81.30859598686101,36.95833694810674,27.99264073511575,62.6719227500602
10,805811,Bryce Eldridge,55.0,2025.0,70.48614773266777,51.72510214198232,26.48832344693654,60.45805162688901
11,806957,Alfredo Duno,55.0,2025.0,71.0800063918361,41.58533572066093,42.44864898936688,59.368469450236624
12,814307,Zyhir Hope,50.0,2025.0,73.52917962538956,39.81905319457233,29.251193771292073,58.98834311073464
13,815929,Jhonny Level,45.0,2025.0,51.00468757268637,64.31855228710444,68.59266448969449,56.7576446787126
14,808265,Franklin Arias,50.0,2025.0,67.56425802369226,39.639861267006935,40.08934280215748,56.43944747453318
15,691783,Jordan Lawlar,60.0,2024.0,80.9030339410363,19.935092292011568,8.755364801318464,55.3978845323571
16,821273,Edward Florentino,50.0,2025.0,52.95612539580642,58.447674334035824,59.14743197904766,55.22272073559937
17,815894,Jorge Quintana,40.0,2025.0,46.81739159033429,67.35071080945599,69.25011083628706,55.22065928066607
18,815896,Emil Morales,45.0,2025.0,53.23659561077546,57.18595635457656,56.15207055696539,54.71295132853478
19,805805,Walker Jenkins,50.0,2025.0,59.4266829662453,52.27636750882279,29.720751602675357,54.31099519266155
20,821181,Juneiker Caceres,40.0,2025.0,40.23359302650205,73.6823180240197,79.88191647957412,54.23304287106455
21,821379,Juan Mateo,35.0,2025.0,40.187506541711656,70.51815806312462,72.44639626510362,52.51259097047474
22,806956,Ethan Salas,50.0,2025.0,54.931265209873395,47.919818058618354,49.3958834549993,52.274292889009466
23,800543,Josue De Paula,55.0,2025.0,60.70789019822709,40.78735369139707,33.586170262259486,52.01955725258132
24,806146,George Lombard Jr.,55.0,2025.0,62.791004019485676,33.56918572613521,33.70800731566912,51.116158861098874
25,815154,Slade Caldwell,40.0,2025.0,52.22269041720812,48.72303043528491,51.313726420245565,51.0818960229349
26,806988,Welbyn Francisca,45.0,2025.0,53.203676433478265,47.22210452807156,48.68391365864962,50.95722858437338
27,806965,Starlyn Caba,45.0,2025.0,56.88401989805225,41.91645993280459,41.03821341097168,50.8091712597699
28,808234,Eduardo Quintero,50.0,2025.0,59.23311928769438,37.23524515257666,37.439151588531836,50.454360277242806
29,802139,JJ Wetherholt,55.0,2025.0,71.50268626132484,21.3419103800169,9.393723168937115,50.24355718769368
30,700246,Carson Williams,55.0,2025.0,67.80917533124648,26.28596161165,12.71215388553274,49.842509070796154
